Option,Group,GroupName
Wägezelle_04,1927,Wägezelle_01
Wägezelle_03,1927,Wägezelle_01
Wägezelle_02,1927,Wägezelle_01
Wägezelle_01,1927,Wägezelle_01
WLAN,1925,WLAN
Wlan,1925,WLAN
WindSpeed,1923,Windspeed
Windspeed,1923,Windspeed
Windgeschwindigkeit Max,1921,Windgeschwindigkeit Max
Windgeschwindigkeit max.,1921,Windgeschwindigkeit Max
Winddirection,1919,Winddirection
WindDirection,1919,Winddirection
WindDir,1917,WindDir
Winddir,1917,WindDir
Wind Gust Speed,1914,Wind Gust
Wind gust Speed,1914,Wind Gust
Wind Gust,1914,Wind Gust
Wind Angle,1912,Wind Angle
Wind Angle Davis,1912,Wind Angle
Wind,1910,Wind
wind,1910,Wind
Wilgotność,1907,Wilgotność
WILGOTNOŚĆ,1907,Wilgotność
Wifi-Stärke,1905,Wifi-Stärke
WiFi-Stärke,1905,Wifi-Stärke
WiFi SIgnal,1900,WiFi Signal
Wifi Signal,1900,WiFi Signal
WiFi signal,1900,WiFi Signal
WiFi Signal Strength,1900,WiFi Signal
WiFi Signal,1900,WiFi Signal
WIFI Qualität,1898,WiFi Qualität
WiFi Qualität,1898,WiFi Qualität
Wifi devices,1896,Wifi devices
WiFi Devices,1896,Wifi devices
WiFi - RSSI,1894,WiFi - RSSI
WiFi RSSI,1894,WiFi - RSSI
wifi,1891,Wifi
WiFi,1891,Wifi
Wifi,1891,Wifi
Water Temperature,1889,Water temperature
Water temperature,1889,Water temperature
Water Level,1887,Water level
Water level,1887,Water level
Wassertemperatur (RTD,1885,Wassertemperatur (RTD
Wassertemperatur (RTD),1885,Wassertemperatur (RTD
Wassertemperatur,1883,Wassertemperatur
WasserTemperatur,1883,Wassertemperatur
W-Lan,1881,W-Lan
W-LAN,1881,W-Lan
Vtronix VH400 02,1877,Vtronix VH400
Vtronix VH400 03,1877,Vtronix VH400
Vtronix VH400 01,1877,Vtronix VH400
Vtronix VH400 04,1877,Vtronix VH400
VOC index,1875,VOC Index
VOC Index,1875,VOC Index
VOC A,1872,VOC
Voc,1872,VOC
VOC,1872,VOC
VEML6075 - UVI,1870,VEML6075 - UVI
VEML6075 - UVI - Index,1870,VEML6075 - UVI
VBAT,1868,vbat
vbat,1868,vbat
var11,1866,var11
Var11,1866,var11
Var10,1864,var10
var10,1864,var10
UV-Sensor,1861,UV-Sensor
UV-Sensor A,1861,UV-Sensor
UV-Sensor B,1861,UV-Sensor
UV-B Radiation,1858,UV-A Radiation
UV-A Radiation,1858,UV-A Radiation
UV-Radiation,1858,UV-A Radiation
UV-säteily,1855,UV- säteily
UV-Säteily,1855,UV- säteily
UV- säteily,1855,UV- säteily
UV Light,1853,UV Light
UV-Light,1853,UV Light
UV Licht,1851,UV Licht
UV-Licht,1851,UV Licht
UV - Strahlung,1847,UV - Strahlung
UV-A Strahlung,1847,UV - Strahlung
UV Strahlung,1847,UV - Strahlung
UV-Strahlung,1847,UV - Strahlung
TVOC,1845,TVOC
tVOC,1845,TVOC
Visible Light,1843,TSL25911 - Visible light
TSL25911 - Visible light,1843,TSL25911 - Visible light
Test,1841,Test
test,1841,Test
temperatuur,1839,Temperatuur
Temperatuur,1839,Temperatuur
TemperaturSHT_6,1830,TemperaturSHT
TemperaturSHT_7,1830,TemperaturSHT
TemperaturSHT_0,1830,TemperaturSHT
TemperaturSHT_3,1830,TemperaturSHT
TemperaturSHT_2,1830,TemperaturSHT
TemperaturSHT,1830,TemperaturSHT
TemperaturSHT_4,1830,TemperaturSHT
TemperaturSHT_1,1830,TemperaturSHT
TemperaturSHT_5,1830,TemperaturSHT
Temperature_out_2,1828,Temperature_out_1
Temperature_out_1,1828,Temperature_out_1
Temperature_in_2,1826,Temperature_in_1
Temperature_in_1,1826,Temperature_in_1
Temperature-HECA,1824,Temperature (HECA)
Temperature (HECA),1824,Temperature (HECA)
temperatura,1819,Temperatura
Temperatura,1819,Temperatura
Temperatura_1,1819,Temperatura
TEMPERATURA,1819,Temperatura
Temperatura_0,1819,Temperatura
Temperatur-DHT,1816,Temperatur DHT
Temperatur DHT 22,1816,Temperatur DHT
Temperatur DHT,1816,Temperatur DHT
Temperatur in Box,1814,Temperatur - in Box
Temperatur - in Box,1814,Temperatur - in Box
"Temperatur, SHT31_1",1806,Temperatur (SHT31)
"Temperatur, SHT31_0",1806,Temperatur (SHT31)
Temperatur SHT31_3,1806,Temperatur (SHT31)
Temperatur SHT31_2,1806,Temperatur (SHT31)
Temperatur (SHT31),1806,Temperatur (SHT31)
Temperatur SHT31_1,1806,Temperatur (SHT31)
Temperatur SHT31_0,1806,Temperatur (SHT31)
Temperatur SHT31,1806,Temperatur (SHT31)
Temperatur Sensor,1804,Temperatur (Sensor 2)
Temperatur (Sensor 2),1804,Temperatur (Sensor 2)
Temperatur Luft,1802,"Temperatur (Luft, HDC1080)"
"Temperatur (Luft, HDC1080)",1802,"Temperatur (Luft, HDC1080)"
Temperatur intern Sensor,1799,Temperatur (intern)
Temperatur intern,1799,Temperatur (intern)
Temperatur (intern),1799,Temperatur (intern)
Temperatur(HECA),1797,Temperatur (HECA)
Temperatur (HECA),1797,Temperatur (HECA)
Temperatur DS18B20,1794,Temperatur (DS18B20)
Temperatur ds18b20,1794,Temperatur (DS18B20)
Temperatur (DS18B20),1794,Temperatur (DS18B20)
Temperatur (DHT22),1792,Temperatur (DHT22)
Temperatur DHT22,1792,Temperatur (DHT22)
Temperatur CPU,1790,Temperatur (CPU)
Temperatur (CPU),1790,Temperatur (CPU)
Temperatur Box,1788,Temperatur (Box)
Temperatur (Box),1788,Temperatur (Box)
Temperatur (BMP280),1786,Temperatur (BMP280)
Temperatur BMP280,1786,Temperatur (BMP280)
"Temperatur, BME280",1782,Temperatur (BME280)
